system   D            wsystem.c:583  maybe_parent_dir                 [   0.02816] Also searching E:\Code\C++\allegris\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.03885] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.03895] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.12195] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.61561] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.61610] Allegro version: 5.0.6
dtor     D               dtor.c:184  _al_register_destructor          [   0.65030] added dtor for object 0030C320, func 558927D4
dtor     D               dtor.c:184  _al_register_destructor          [   0.65260] added dtor for object 0030D2A0, func 558927D4
dtor     D               dtor.c:184  _al_register_destructor          [   0.66355] added dtor for object 0030E228, func 558927D4
dtor     D               dtor.c:184  _al_register_destructor          [   0.67675] added dtor for object 0030F1C0, func 558927D4
dtor     D               dtor.c:184  _al_register_destructor          [   0.68213] added dtor for object 0030F2A8, func 558927D4
dtor     D               dtor.c:184  _al_register_destructor          [   0.69082] added dtor for object 0030F390, func 558927D4
dtor     D               dtor.c:184  _al_register_destructor          [   0.69302] added dtor for object 0030F478, func 558927D4
dtor     D               dtor.c:184  _al_register_destructor          [   0.72700] added dtor for object 0030F560, func 558927D4
font     D                ttf.c:799  al_load_ttf_font_stretch_f       [   0.74537] Font font/VideoTerminalScreen.ttf loaded with pixel size 0 x 30.
font     D                ttf.c:801  al_load_ttf_font_stretch_f       [   0.74544]     ascent=19.0, descent=-6.0, height=25.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.74551] added dtor for object 0102AD98, func 55891DA7
font     D                ttf.c:799  al_load_ttf_font_stretch_f       [   0.74715] Font font/VideoTerminalScreen.ttf loaded with pixel size 0 x 30.
font     D                ttf.c:801  al_load_ttf_font_stretch_f       [   0.74721]     ascent=19.0, descent=-6.0, height=25.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.74727] added dtor for object 0102DD38, func 55891DA7
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.75017] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.82998] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83008] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83012] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83015] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.83018] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83021] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83032] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83045] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83048] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83052] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.83055] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.83058] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.83060] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83069] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83126] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83130] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83133] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83136] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83139] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.83142] Single Buffer requirement not met.
