system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00050] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00058] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00310] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.02325] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.02328] Allegro version: 5.0.6
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.02501] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.03773] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03776] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03777] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03778] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03780] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03781] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03782] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03783] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03784] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03785] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03786] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03787] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03788] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03789] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03791] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03792] Score is : 726
display  D   display_settings.c:357  _al_score_display_settings       [   0.03793] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03794] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03795] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03796] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03797] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03798] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03799] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03801] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03802] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03803] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03804] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03805] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03806] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03807] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03808] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03809] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03815] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03816] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03817] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03818] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03819] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03821] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03822] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03823] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03824] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03825] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03826] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03827] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03828] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03829] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03830] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03832] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03833] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03835] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03836] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03837] Score is : 598
display  D   display_settings.c:357  _al_score_display_settings       [   0.03839] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03840] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03841] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03843] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03844] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03845] Single Buffer requirement not met.
